x,y,chebyshev,adi,difference
0,0.5,0.25,0.25,0
0.00390625,0.5,0.2589067116793624,0.2589067116651317,1.423061668504033e-11
0.0078125,0.5,0.2677521611876253,0.2677521611620328,2.559252809675172e-11
0.01171875,0.5,0.2765361218637455,0.2765361218292997,3.444583507317134e-11
0.015625,0.5,0.2852583677530576,0.2852583677100672,4.29903890264427e-11
0.01953125,0.5,0.2939186739588551,0.2939186739065952,5.225991861479429e-11
0.0234375,0.5,0.3025168169919996,0.3025168169316896,6.030992372174637e-11
0.02734375,0.5,0.3110525751177766,0.3110525750527797,6.499689675365516e-11
0.03125,0.5,0.3195257286990413,0.3195257286319224,6.711886602062123e-11
0.03515625,0.5,0.3279360605318601,0.3279360604632354,6.862477253122279e-11
0.0390625,0.5,0.3362833561786328,0.3362833561074254,7.120742884225706e-11
0.04296875,0.5,0.3445674042950706,0.3445674042202003,7.487027664510038e-11
0.046875,0.5,0.3527879969509338,0.3527879968722635,7.867029250263613e-11
0.05078125,0.5,0.360944929942304,0.3609449298616419,8.066203260881366e-11
0.0546875,0.5,0.3690380030988824,0.3690380030184287,8.045364374709152e-11
0.05859375,0.5,0.3770670205827633,0.3770670205020583,8.070505375101789e-11
0.0625,0.5,0.3850317911737375,0.3850317910897662,8.397138540061633e-11
0.06640625,0.5,0.3929321285467945,0.3929321284555946,9.119988098049703e-11
0.0703125,0.5,0.400767851539417,0.400767851438679,1.007379735185054e-10
0.07421875,0.5,0.408538784412542,0.4085387843010824,1.114596748230667e-10
0.078125,0.5,0.4162447570972798,0.4162447569749169,1.223629531033055e-10
0.08203125,0.5,0.4238856054310325,0.4238856052983164,1.327160603636912e-10
0.0859375,0.5,0.4314611713833881,0.4314611712394593,1.439288133120442e-10
0.08984375,0.5,0.4389713032651614,0.4389713031089178,1.562436291457914e-10
0.09375,0.5,0.4464158559295156,0.4464158557593964,1.701192520187078e-10
0.09765625,0.5,0.4537946909568101,0.4537946907730155,1.837946461691331e-10
0.1015625,0.5,0.4611076768320987,0.4611076766355982,1.965005935744557e-10
0.10546875,0.5,0.4683546891055299,0.468354688898321,2.07208861180419e-10
0.109375,0.5,0.4755356105416917,0.4755356103257516,2.159400991352811e-10
0.11328125,0.5,0.4826503312544004,0.4826503310309825,2.234178952953414e-10
0.1171875,0.5,0.4896987488265456,0.4896987485975811,2.289645695263687e-10
0.12109375,0.5,0.4966807684216201,0.4966807681879648,2.336553173165612e-10
0.125,0.5,0.5035963028753068,0.5035963026383709,2.369359153320261e-10
0.12890625,0.5,0.5104452727801029,0.510445272540098,2.400049048389974e-10
0.1328125,0.5,0.5172276065512911,0.5172276063084198,2.428712786439746e-10
0.13671875,0.5,0.5239432404837033,0.5239432402375581,2.461452153212917e-10
0.140625,0.5,0.5305921187927644,0.5305921185430881,2.496762796511121e-10
0.14453125,0.5,0.5371741936433695,0.5371741933907397,2.526298059635224e-10
0.1484375,0.5,0.5436894251693284,0.5436894249133488,2.559795708734214e-10
